DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
20090101,0,0,0,-33,-94,50
20090102,0,0,0,11,-50,28
20090103,0,0,0,33,-17,45
20090104,0,0,0,56,-39,34
20090105,0,0,0,61,33,31
20090106,20,0,0,33,-6,30
20090107,302,0,0,33,-6,47
20090108,0,0,0,33,-17,51
20090109,0,0,0,0,-33,43
20090110,36,0,25,-11,-50,30
20090111,48,25,0,-6,-44,31
20090112,0,25,0,6,-61,28
20090113,0,0,0,50,-22,24
20090114,0,0,0,22,-89,38
20090115,13,25,25,-56,-94,34
20090116,0,0,0,-89,-128,41
20090117,0,0,0,-56,-144,25
20090118,46,0,56,17,-56,24
20090119,46,76,46,6,-33,10
20090120,0,102,0,-17,-72,27
20090121,0,76,0,-33,-83,37
20090122,0,76,0,28,-67,30
20090123,0,51,0,83,-6,22
20090124,0,0,0,78,-83,51
20090125,0,0,0,-28,-106,28
20090126,0,0,0,-17,-72,22
20090127,0,0,0,-17,-39,19
20090128,246,76,76,50,-44,43
20090129,0,25,0,22,-33,38
20090130,0,25,0,17,-33,30
20090131,0,25,0,-28,-67,38
20090201,0,25,0,111,-33,34
20090202,0,0,0,117,11,23
20090203,89,0,109,11,-39,36
20090204,0,76,0,-11,-83,34
20090205,0,76,0,-50,-111,43
20090206,0,51,0,0,-94,24
20090207,0,25,0,100,-22,17
20090208,0,0,0,144,33,43
20090209,0,0,0,72,6,26
20090210,0,0,0,100,17,17
20090211,8,0,0,183,72,20
20090212,30,0,0,139,67,60
20090213,0,0,0,67,-6,54
20090214,0,0,0,50,-22,28
20090215,0,0,0,56,-22,32
20090216,0,0,0,44,-22,24
20090217,0,0,0,44,-44,22
20090218,81,0,0,67,0,25
20090219,0,0,0,100,-28,41
20090220,0,0,0,6,-50,61
20090221,0,0,0,56,-33,34
20090222,18,0,0,67,-6,40
20090223,0,0,0,11,-44,60
20090224,0,0,0,28,-56,43
20090225,0,0,0,56,-44,19
20090226,0,0,0,100,17,21
20090227,10,0,0,161,61,36
20090228,0,0,0,122,-6,42
20090301,38,0,46,22,-22,44
20090302,124,178,165,-22,-89,49
20090303,0,203,0,-33,-111,52
20090304,0,203,0,11,-78,26
20090305,0,51,0,61,-22,18
20090306,3,0,0,128,33,36
20090307,0,0,0,211,106,20
20090308,0,0,0,178,94,32
20090309,25,0,0,94,33,35
20090310,3,0,0,83,28,23
20090311,0,0,0,144,50,33
20090312,0,0,0,67,0,41
20090313,0,0,0,44,-28,28
20090314,0,0,0,106,0,22
20090315,0,0,0,106,56,10
20090316,0,0,0,83,44,28
20090317,0,0,0,128,22,26
20090318,0,0,0,178,50,36
20090319,33,0,0,117,56,20
20090320,10,0,0,78,6,34
20090321,0,0,0,94,-6,30
20090322,0,0,0,122,17,38
20090323,0,0,0,67,-17,39
20090324,0,0,0,100,-28,36
20090325,0,0,0,111,17,25
20090326,102,0,0,72,56,21
20090327,0,0,0,172,67,21
20090328,13,0,0,144,67,35
20090329,94,0,0,111,56,34
20090330,0,0,0,117,50,54
20090331,0,0,0,156,33,32
20090401,91,0,0,94,61,30
20090402,3,0,0,178,67,25
20090403,231,0,0,161,89,37
20090404,0,0,0,122,83,66
20090405,0,0,0,183,72,34
20090406,142,0,0,128,72,28
20090407,0,0,0,94,39,43
20090408,0,0,0,89,17,28
20090409,0,0,0,172,50,22
20090410,0,0,0,150,72,22
20090411,142,0,0,100,50,38
20090412,0,0,0,94,22,44
20090413,0,0,0,139,11,29
20090414,43,0,0,111,56,40
20090415,51,0,0,139,56,42
20090416,0,0,0,178,67,30
20090417,0,0,0,217,56,16
20090418,0,0,0,261,122,21
20090419,0,0,0,172,83,36
20090420,455,0,0,100,56,53
20090421,23,0,0,150,89,30
20090422,10,0,0,133,83,24
20090423,0,0,0,139,61,38
20090424,0,0,0,222,83,18
20090425,0,0,0,311,111,20
20090426,0,0,0,333,194,18
20090427,0,0,0,289,144,27
20090428,0,0,0,322,206,40
20090429,0,0,0,206,94,33
20090430,0,0,0,161,89,19
20090501,107,0,0,217,117,31
20090502,28,0,0,200,122,22
20090503,104,0,0,156,111,14
20090504,89,0,0,139,106,20
20090505,79,0,0,122,106,41
20090506,292,0,0,183,94,22
20090507,269,0,0,211,106,15
20090508,0,0,0,233,133,13
20090509,157,0,0,244,144,21
20090510,0,0,0,211,122,45
20090511,0,0,0,189,100,21
20090512,0,0,0,206,100,15
20090513,0,0,0,194,94,24
20090514,13,0,0,194,133,34
20090515,0,0,0,244,156,13
20090516,41,0,0,217,144,22
20090517,10,0,0,189,111,29
20090518,0,0,0,144,94,23
20090519,0,0,0,206,61,19
20090520,0,0,0,278,111,22
20090521,0,0,0,300,156,30
20090522,0,0,0,289,167,28
20090523,0,0,0,228,156,-9999
20090524,0,0,0,283,156,-9999
20090525,0,0,0,272,172,-9999
20090526,0,0,0,189,117,-9999
20090527,0,0,0,183,117,10
20090528,15,0,0,161,133,1
20090529,109,0,0,233,128,7
20090530,0,0,0,250,156,-9999
20090531,0,0,0,272,139,-9999
20090601,0,0,0,217,100,23
20090602,15,0,0,267,161,18
20090603,127,0,0,222,122,16
20090604,137,0,0,200,128,11
20090605,239,0,0,156,128,32
20090606,0,0,0,244,139,16
20090607,0,0,0,278,172,19
20090608,5,0,0,239,167,26
20090609,465,0,0,217,156,23
20090610,0,0,0,194,150,27
20090611,41,0,0,178,150,29
20090612,155,0,0,267,167,13
20090613,33,0,0,228,161,19
20090614,5,0,0,228,144,21
20090615,127,0,0,222,139,14
20090616,0,0,0,211,133,26
20090617,0,0,0,200,128,22
20090618,584,0,0,178,156,28
20090619,0,0,0,250,172,14
20090620,71,0,0,217,172,16
20090621,114,0,0,256,172,28
20090622,0,0,0,239,183,33
20090623,0,0,0,267,189,23
20090624,76,0,0,244,183,12
20090625,0,0,0,267,178,13
20090626,185,0,0,283,178,-9999
20090627,5,0,0,272,172,-9999
20090628,0,0,0,278,178,-9999
20090629,0,0,0,272,183,24
20090630,168,0,0,289,183,16
20090701,0,0,0,272,189,23
20090702,152,0,0,244,189,19
20090703,0,0,0,256,183,22
20090704,0,0,0,261,189,32
20090705,0,0,0,261,161,20
20090706,0,0,0,283,172,17
20090707,33,0,0,261,161,23
20090708,0,0,0,250,144,22
20090709,0,0,0,228,161,35
20090710,0,0,0,256,156,20
20090711,84,0,0,256,172,25
20090712,5,0,0,272,178,22
20090713,0,0,0,261,161,14
20090714,0,0,0,261,161,22
20090715,0,0,0,278,172,16
20090716,0,0,0,289,211,22
20090717,53,0,0,300,200,19
20090718,5,0,0,283,200,29
20090719,0,0,0,272,178,21
20090720,0,0,0,272,194,20
20090721,290,0,0,217,178,28
20090722,0,0,0,278,178,13
20090723,99,0,0,250,178,34
20090724,5,0,0,256,172,21
20090725,0,0,0,283,189,22
20090726,361,0,0,289,194,21
20090727,152,0,0,283,200,17
20090728,0,0,0,294,217,13
20090729,386,0,0,283,211,22
20090730,0,0,0,294,222,24
20090731,180,0,0,294,194,21
20090801,0,0,0,283,183,19
20090802,267,0,0,233,194,24
20090803,0,0,0,289,211,10
20090804,0,0,0,283,200,19
20090805,0,0,0,294,228,18
20090806,0,0,0,250,189,13
20090807,0,0,0,261,178,22
20090808,0,0,0,256,172,21
20090809,3,0,0,261,211,15
20090810,132,0,0,328,200,27
20090811,0,0,0,306,244,21
20090812,0,0,0,261,217,29
20090813,5,0,0,222,200,26
20090814,0,0,0,300,194,12
20090815,0,0,0,311,211,14
20090816,0,0,0,328,228,15
20090817,0,0,0,333,239,17
20090818,163,0,0,322,200,22
20090819,0,0,0,322,217,18
20090820,0,0,0,317,239,14
20090821,33,0,0,317,222,22
20090822,188,0,0,272,211,13
20090823,5,0,0,289,228,8
20090824,0,0,0,278,206,14
20090825,0,0,0,283,206,15
20090826,8,0,0,294,211,25
20090827,0,0,0,256,194,16
20090828,130,0,0,222,178,26
20090829,140,0,0,222,194,24
20090830,0,0,0,272,189,24
20090831,0,0,0,222,167,22
20090901,0,0,0,233,139,17
20090902,0,0,0,250,139,10
20090903,0,0,0,256,161,16
20090904,0,0,0,283,167,18
20090905,0,0,0,289,206,16
20090906,0,0,0,239,172,40
20090907,0,0,0,233,156,18
20090908,0,0,0,233,167,8
20090909,0,0,0,244,172,37
20090910,0,0,0,200,156,56
20090911,213,0,0,189,133,61
20090912,8,0,0,194,172,23
20090913,0,0,0,261,178,19
20090914,0,0,0,244,161,22
20090915,0,0,0,256,172,18
20090916,0,0,0,211,172,46
20090917,3,0,0,172,128,26
20090918,0,0,0,233,133,26
20090919,0,0,0,211,117,17
20090920,0,0,0,228,122,16
20090921,0,0,0,239,139,18
20090922,0,0,0,228,178,13
20090923,0,0,0,267,206,25
20090924,8,0,0,278,189,21
20090925,0,0,0,206,133,33
20090926,36,0,0,194,122,29
20090927,262,0,0,200,150,21
20090928,46,0,0,222,144,29
20090929,0,0,0,189,122,32
20090930,0,0,0,156,94,35
20091001,0,0,0,128,83,22
20091002,15,0,0,178,83,21
20091003,74,0,0,211,172,13
20091004,0,0,0,233,139,19
20091005,0,0,0,194,117,32
20091006,0,0,0,189,100,20
20091007,41,0,0,206,139,49
20091008,0,0,0,172,111,26
20091009,8,0,0,206,150,18
20091010,0,0,0,189,100,22
20091011,0,0,0,178,78,25
20091012,0,0,0,117,61,12
20091013,0,0,0,178,78,27
20091014,0,0,0,117,50,13
20091015,150,0,0,83,28,51
20091016,13,0,0,78,28,41
20091017,8,0,0,89,56,42
20091018,74,0,0,72,50,40
20091019,0,0,0,128,28,17
20091020,0,0,0,183,72,17
20091021,0,0,0,200,111,5
20091022,0,0,0,233,122,28
20091023,48,0,0,178,94,40
20091024,460,0,0,183,117,30
20091025,0,0,0,167,106,27
20091026,0,0,0,156,78,20
20091027,157,0,0,128,100,31
20091028,328,0,0,139,106,39
20091029,0,0,0,139,94,24
20091030,0,0,0,150,111,25
20091031,43,0,0,217,128,31
20091101,3,0,0,144,94,26
20091102,0,0,0,128,78,37
20091103,0,0,0,156,61,21
20091104,0,0,0,111,50,22
20091105,0,0,0,117,56,20
20091106,0,0,0,100,28,32
20091107,0,0,0,117,17,22
20091108,0,0,0,206,83,11
20091109,0,0,0,194,94,18
20091110,0,0,0,183,133,21
20091111,0,0,0,139,89,49
20091112,18,0,0,100,72,64
20091113,10,0,0,128,89,70
20091114,124,0,0,139,111,30
20091115,5,0,0,189,122,15
20091116,0,0,0,150,94,23
20091117,0,0,0,128,78,33
20091118,0,0,0,117,56,33
20091119,46,0,0,150,83,28
20091120,127,0,0,161,89,31
20091121,0,0,0,139,78,21
20091122,0,0,0,128,72,31
20091123,0,0,0,100,67,50
20091124,0,0,0,144,89,33
20091125,8,0,0,106,94,24
20091126,0,0,0,139,100,21
20091127,0,0,0,100,61,43
20091128,0,0,0,100,56,51
20091129,0,0,0,150,39,23
20091130,69,0,0,139,44,31
20091201,0,0,0,83,17,32
20091202,114,0,0,133,50,22
20091203,185,0,0,189,94,44
20091204,0,0,0,111,67,24
20091205,163,0,0,72,6,33
20091206,0,0,0,33,6,32
20091207,0,0,0,39,0,20
20091208,0,0,0,67,11,33
20091209,376,0,0,117,6,37
20091210,0,0,0,78,-28,55
20091211,0,0,0,-17,-61,57
20091212,0,0,0,28,-39,34
20091213,241,0,0,111,11,27
20091214,0,0,0,78,44,24
20091215,0,0,0,111,56,31
20091216,0,0,0,56,-22,49
20091217,0,0,0,-6,-67,51
20091218,0,0,0,-11,-89,24
20091219,155,0,231,-11,-61,48
20091220,33,254,46,11,-61,44
20091221,0,178,0,22,-22,48
20091222,0,178,0,22,-50,41
20091223,0,127,0,-11,-67,43
20091224,0,102,0,39,-44,25
20091225,61,51,0,33,6,42
20091226,376,0,0,122,28,55
20091227,84,0,0,128,44,34
20091228,0,0,0,61,-11,40
20091229,0,0,0,-6,-89,64
20091230,0,0,0,0,-72,26
20091231,58,0,38,17,-17,16
20100101,8,0,0,44,6,15
20100102,5,0,5,11,-83,56
20100103,0,0,0,-56,-83,64
20100104,0,0,0,-11,-72,48
20100105,0,0,0,-11,-67,44
20100106,0,0,0,11,-33,43
20100107,0,0,0,28,-11,39
20100108,13,0,15,6,-50,34
